id,property_code,month_date,expirations,mtm,market_rent,occupied_rent,revenue,expenses,owed,charges,collections,pct_collected,renewals,move_outs,new_leads,tours,applications,move_ins
14,perryh,2026-01-01,,,,,,,,,,,,10,43,23,9,4
15,abbeylk,2026-01-01,,,,,,,,,,,,2,81,0,3,4
